time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-08T14:01:52.308Z,15.1951,-61.3215,145.37,4.9,mww,,41,0.383,0.54,us,us70006wc3,2020-03-06T00:36:01.040Z,"4km S of Berekua, Dominica",earthquake,6.8,5.4,0.098,10,reviewed,us,us
2020-01-07T19:08:58.441Z,12.2434,-86.4288,202.87,5.2,mww,,26,0.197,0.97,us,us70006vve,2020-03-21T17:13:16.040Z,"13km NW of Ciudad Sandino, Nicaragua",earthquake,5.5,3.5,0.047,43,reviewed,us,us
2020-01-07T16:27:07.510Z,17.9645,-66.8256,8,4.6,ml,11,203,0.2187,0.25,pr,pr2020007023,2020-03-21T17:13:25.040Z,"6km SW of Tallaboa, Puerto Rico",earthquake,0.99,1.68,0.13,6,reviewed,pr,pr
2020-01-07T13:00:22.050Z,18.0136,-66.7501,9,4.5,ml,9,184,0.1468,0.14,pr,pr2020007012,2020-03-21T17:13:25.040Z,"5km ESE of Tallaboa, Puerto Rico",earthquake,0.56,3.4,0.12,4,reviewed,pr,pr
2020-01-07T12:54:42.450Z,17.9315,-66.927,8,4.7,ml,8,219,0.1232,0.15,pr,pr2020007054,2020-03-21T17:13:07.040Z,"3km S of Guanica, Puerto Rico",earthquake,0.75,1.53,0,0,reviewed,pr,pr
2020-01-07T11:18:43.540Z,18.0223,-66.776,9,5.6,mwp,10,177,0.171,0.08,pr,pr2020007010,2020-03-25T04:13:08.527Z,"8km SSW of Tallaboa, Puerto Rico",earthquake,0.84,1.26,0,0,reviewed,pr,pr
2020-01-07T09:42:11.867Z,17.9128,-66.6898,10,4.7,mb,,69,0.151,0.56,us,us60007c6b,2020-03-26T17:28:13.034Z,"9km SSE of Tallaboa, Puerto Rico",earthquake,2.4,1.9,0.102,29,reviewed,us,us
2020-01-07T08:50:45.778Z,17.9418,-66.6754,10,5,mww,,28,0.12,1.07,us,us70006vmj,2020-03-21T17:13:09.040Z,"7km SE of Tallaboa, Puerto Rico",earthquake,3.4,1.8,0.089,12,reviewed,us,us
2020-01-07T08:34:01.979Z,17.8919,-66.7217,10,5.6,mww,,40,0.186,1.25,us,us70006vm9,2020-03-21T17:13:09.040Z,"11km S of Tallaboa, Puerto Rico",earthquake,2.1,1.8,0.075,17,reviewed,us,us
2020-01-07T08:30:55.306Z,17.9206,-66.767,10,4.6,ml,,212,0.195,0.89,us,us60007c6s,2020-03-21T17:13:09.040Z,"9km SE of Indios, Puerto Rico",earthquake,1.1,1.9,0.081,20,reviewed,us,us
2020-01-07T08:29:49.410Z,17.8685,-66.7029,10,5,mb,,46,0.196,1.23,us,us70006vmc,2020-03-21T17:13:23.040Z,"14km S of Tallaboa, Puerto Rico",earthquake,3.2,1.9,0.188,11,reviewed,us,us
2020-01-07T08:24:25.043Z,17.8624,-66.8291,7.42,6.4,mww,,25,0.121,0.65,us,us70006vll,2020-03-25T04:02:38.584Z,"13km S of Indios, Puerto Rico",earthquake,3.4,3,0.049,40,reviewed,us,us
2020-01-06T14:51:17.270Z,17.9075,-66.799,6,4.9,ml,11,232,0.1049,0.16,pr,pr2020006017,2020-03-21T17:13:07.040Z,"8km SSW of Tallaboa, Puerto Rico",earthquake,1.1,0.69,0.31,8,reviewed,pr,pr
2020-01-06T10:32:18.770Z,17.8675,-66.8193,6,5.8,mwp,19,227,0.1231,0.29,pr,pr2020006006,2020-03-21T17:13:07.040Z,"9km SE of Indios, Puerto Rico",earthquake,1.7,1.14,0,0,reviewed,pr,pr
2020-01-03T15:28:54.137Z,11.7392,-86.2862,106.87,5.5,mww,,74,0.408,1.1,us,us70006u7m,2020-03-21T17:13:16.040Z,"7km W of Santa Teresa, Nicaragua",earthquake,6.5,3,0.044,50,reviewed,us,us
2020-01-03T03:41:15.230Z,17.9006,-66.8261,2,4.7,ml,19,214,0.2287,0.19,pr,pr2020003002,2020-03-21T17:13:20.040Z,"8km S of Indios, Puerto Rico",earthquake,0.91,0.72,0,0,reviewed,pr,pr
2020-01-02T20:42:02.330Z,17.9148,-66.8333,7,4.5,ml,20,210,0.0758,0.21,pr,pr2020002036,2020-03-21T17:13:16.040Z,"5km SW of Tallaboa, Puerto Rico",earthquake,1.04,0.7,0.16,12,reviewed,pr,pr
2020-01-02T03:35:22.502Z,12.628,-88.13,51.52,4.6,mb,,87,1.084,0.95,us,us70006tej,2020-03-21T17:13:32.040Z,"63km S of Intipuca, El Salvador",earthquake,6.4,5.2,0.035,247,reviewed,us,us
2019-12-30T18:58:20.221Z,7.2683,-78.7006,10,4.6,mb,,61,4.229,0.69,us,us70006sll,2020-03-14T22:23:05.040Z,"64km WSW of Jaque, Panama",earthquake,8.9,1.9,0.067,66,reviewed,us,us
2019-12-29T01:21:14.590Z,17.9308,-66.8363,3,4.7,ml,17,205,0.0617,0.18,pr,pr2019363003,2020-03-14T22:23:44.040Z,"11km SSE of Maria Antonia, Puerto Rico",earthquake,0.86,0.53,0.29,13,reviewed,pr,pr
2019-12-29T01:06:00.130Z,17.8846,-66.864,6,5,ml,18,222,0.1992,0.24,pr,pr2019363002,2020-03-14T22:23:45.040Z,"9km S of Indios, Puerto Rico",earthquake,1.36,0.96,0,0,reviewed,pr,pr
2019-12-28T22:35:37.830Z,17.9371,-66.8661,6,4.7,ml,17,204,0.0402,0.23,pr,pr2019362024,2020-03-14T22:23:51.040Z,"11km SSE of Guanica, Puerto Rico",earthquake,1.02,0.58,0.41,13,reviewed,pr,pr
2019-12-27T01:37:45.465Z,16.8394,-60.9055,30.51,4.5,mwr,,82,0.539,1.01,us,us70006re9,2020-03-14T22:24:19.040Z,"61km NNE of Grande Anse, Guadeloupe",earthquake,5.3,3.3,0.048,41,reviewed,us,us
2019-12-24T01:45:35.733Z,9.5176,-81.9491,10,4.6,mb,,126,1.024,0.94,us,us70006qe8,2020-03-14T22:25:22.040Z,"31km NE of Isla Bastimentos, Panama",earthquake,3.8,1.8,0.182,9,reviewed,us,us
2019-12-24T00:25:09.970Z,10.8563,-86.4757,35,4.7,mb,,129,1.148,0.92,us,us70006qdf,2020-03-14T22:25:22.040Z,"79km WSW of San Juan del Sur, Nicaragua",earthquake,7.8,2,0.031,318,reviewed,us,us
2019-12-24T00:24:13.258Z,10.8972,-86.4727,35,4.5,mb,,193,1.171,0.79,us,us70006qda,2020-03-14T22:25:23.040Z,"76km WSW of San Juan del Sur, Nicaragua",earthquake,3.4,2,0.066,68,reviewed,us,us
2019-12-21T17:47:27.576Z,13.1106,-88.7354,81.27,4.5,mb,,86,1.417,1.06,us,us70006ph7,2020-03-07T17:47:42.040Z,"27km SW of Puerto El Triunfo, El Salvador",earthquake,6,2.9,0.051,121,reviewed,us,us
2019-12-21T02:06:00.329Z,13.7226,-91.3966,35,4.5,mb,,184,0.848,1.38,us,us70006pb2,2020-03-07T17:47:39.040Z,"53km S of Nueva Concepcion, Guatemala",earthquake,6.8,2,0.065,68,reviewed,us,us
2019-12-20T03:08:52.430Z,15.4263,-91.8267,204.56,4.5,mb,,128,0.33,0.86,us,us70006nwm,2020-03-07T17:47:36.040Z,"6km W of Ixtahuacan, Guatemala",earthquake,7.9,5.5,0.083,43,reviewed,us,us
2019-12-19T14:41:54.884Z,13.6368,-91.2958,25.19,4.8,mb,,154,0.963,1.25,us,us70006nhs,2020-03-07T17:47:35.040Z,"56km SSW of La Gomera, Guatemala",earthquake,8.1,5.5,0.032,309,reviewed,us,us
2019-12-19T12:39:11.130Z,13.6727,-91.2935,35,5.1,mb,,103,0.932,1.36,us,us70006ngc,2020-03-07T17:47:34.040Z,"52km SSW of La Gomera, Guatemala",earthquake,6.5,1.9,0.057,101,reviewed,us,us
2019-12-19T12:35:31.287Z,13.7354,-91.2255,21,5.9,mww,,58,0.907,1.41,us,us70006ng5,2020-03-27T14:06:23.893Z,"42km SSW of La Gomera, Guatemala",earthquake,7.3,1.6,0.034,85,reviewed,us,us
2019-12-15T19:42:55.366Z,12.5453,-86.8725,166.97,4.6,mb,,130,0.075,0.72,us,us60006rvv,2020-03-04T21:27:06.040Z,"2km NNW of Telica, Nicaragua",earthquake,7.1,6.4,0.094,34,reviewed,us,us
2019-12-14T07:27:01.421Z,12.9159,-90.4331,10,4.5,mb,,190,1.805,1.32,us,us60006rfn,2020-03-04T21:27:01.040Z,"99km SW of Acajutla, El Salvador",earthquake,6.1,1.9,0.104,27,reviewed,us,us
